IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 366104, duration in ms: 30503, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 379416, duration in ms: 30064, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 364056, duration in ms: 30063, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 342552, duration in ms: 30169, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 366104, duration in ms: 30504, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 375320, duration in ms: 30235, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 342552, duration in ms: 30160, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 366104, duration in ms: 30504, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 366104, duration in ms: 30504, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 342552, duration in ms: 30160, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 367128, duration in ms: 30504, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 366104, duration in ms: 30063, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 382488, duration in ms: 30231, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 342552, duration in ms: 30171, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 375320, duration in ms: 30226, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 367128, duration in ms: 30505, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 342552, duration in ms: 30159, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 366104, duration in ms: 30504, kbits/s: 96
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 354840, duration in ms: 30720, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 334360, duration in ms: 30167, kbits/s: 88
