IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 127512, duration in ms: 30176, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 125464, duration in ms: 30184, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 128536, duration in ms: 30191, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 125464, duration in ms: 30184, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 127512, duration in ms: 30176, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 125464, duration in ms: 30184, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 128536, duration in ms: 30192, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 128536, duration in ms: 30191, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 128536, duration in ms: 30065, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 127512, duration in ms: 30176, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 125464, duration in ms: 30184, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 125464, duration in ms: 30184, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 127512, duration in ms: 30175, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 125464, duration in ms: 30184, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 125464, duration in ms: 30183, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 125464, duration in ms: 30184, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 125976, duration in ms: 30008, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 127512, duration in ms: 30175, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 127512, duration in ms: 30528, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 127512, duration in ms: 30176, kbits/s: 32
