IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30712, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30216, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30217, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30214, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30210, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 217624, duration in ms: 30269, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 217624, duration in ms: 30274, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30715, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 229912, duration in ms: 30064, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 217624, duration in ms: 30270, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 217624, duration in ms: 30717, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 227864, duration in ms: 30712, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 213016, duration in ms: 30009, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 217624, duration in ms: 30705, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 218648, duration in ms: 30191, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 218648, duration in ms: 30191, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30212, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30714, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 221720, duration in ms: 30706, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30708, kbits/s: 56
