IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7709, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14788, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2003, kbits/s: 120
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 7335, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12784, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1885, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 6831, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 5894, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 5208, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 625, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1694, kbits/s: 144
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 9209, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3639, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 6261, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5761, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 7275, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4386, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 10088, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 4519, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3636, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 5706, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 6331, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14782, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 6391, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3008, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 5704, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3261, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8772, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3259, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13787, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3201, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3258, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5202, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 18298, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5892, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 6519, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 6271, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4262, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3271, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4388, kbits/s: 56
