IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5012, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3196, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 1760, kbits/s: 136
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5829, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4515, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1942, kbits/s: 120
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5393, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1815, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1813, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1819, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 619, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3694, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 625, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3196, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2136, kbits/s: 112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3197, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4388, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 627, kbits/s: 392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3827, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 13727, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3260, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5011, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 687, kbits/s: 352
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7329, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 21165, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1880, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 9209, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5889, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3695, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2574, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1881, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1883, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 567, kbits/s: 424
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3692, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4014, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1880, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2134, kbits/s: 112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3073, kbits/s: 80
