IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 231960, duration in ms: 30705, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30228, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 218648, duration in ms: 30191, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 217624, duration in ms: 30284, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 218648, duration in ms: 30192, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30224, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30712, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30227, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 231960, duration in ms: 30223, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30712, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30712, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 218648, duration in ms: 30191, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 217624, duration in ms: 30733, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 219672, duration in ms: 30301, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 219672, duration in ms: 30285, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30712, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 215576, duration in ms: 30192, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30244, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 223768, duration in ms: 30302, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 234008, duration in ms: 30207, kbits/s: 56
