IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2696, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2254, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 4765, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 4331, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 4020, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3384, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2253, kbits/s: 104
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4080, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 9401, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 1818, kbits/s: 128
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12332, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3197, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 22925, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 34263, kbits/s: 0
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4883, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 6703, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 13274, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2138, kbits/s: 112
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 7211, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14661, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 4756, kbits/s: 48
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 4200, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 5897, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3509, kbits/s: 64
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5518, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 810, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 8207, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3258, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 12408, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 8406, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 943, kbits/s: 256
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 2761, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3384, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 5272, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 812, kbits/s: 296
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3261, kbits/s: 72
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 6457, kbits/s: 32
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14976, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 12778, kbits/s: 16
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2195, kbits/s: 112
