IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16, kbits/s: 15368
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 16, kbits/s: 15368
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3019, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 2762, kbits/s: 88
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 3009, kbits/s: 80
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4261, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4277, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 3789, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 17298, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 18, kbits/s: 13664
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 4259, kbits/s: 56
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 17799, kbits/s: 8
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 8289, kbits/s: 24
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 5773, kbits/s: 40
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 14, kbits/s: 17568
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30232, duration in ms: 22, kbits/s: 10992
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 15, kbits/s: 16392
IPERF report: type=1, remote: 192.168.1.3:5001, total bytes: 30744, duration in ms: 5267, kbits/s: 40
